folder,n_pytorch_modeling,pytorch_modeling_files,n_modular,modular_files,n_tokenization,n_processing,n_image_processing,n_feature_extraction,has_pt_modeling,has_modular,has_exact_pt_modeling,is_modular_only,is_no_modeling,all_modeling_variants
afmoe,1,modeling_afmoe.py,1,modular_afmoe.py,0,0,0,0,True,True,True,False,False,modeling_afmoe.py
aimv2,1,modeling_aimv2.py,1,modular_aimv2.py,0,0,0,0,True,True,True,False,False,modeling_aimv2.py
albert,1,modeling_albert.py,0,,1,0,0,0,True,False,True,False,False,modeling_albert.py
align,1,modeling_align.py,0,,0,1,0,0,True,False,True,False,False,modeling_align.py
altclip,1,modeling_altclip.py,1,modular_altclip.py,0,1,0,0,True,True,True,False,False,modeling_altclip.py
apertus,1,modeling_apertus.py,1,modular_apertus.py,0,0,0,0,True,True,True,False,False,modeling_apertus.py
arcee,1,modeling_arcee.py,1,modular_arcee.py,0,0,0,0,True,True,True,False,False,modeling_arcee.py
aria,1,modeling_aria.py,1,modular_aria.py,0,1,2,0,True,True,True,False,False,modeling_aria.py
audio_spectrogram_transformer,1,modeling_audio_spectrogram_transformer.py,0,,0,0,0,1,True,False,True,False,False,modeling_audio_spectrogram_transformer.py
audioflamingo3,1,modeling_audioflamingo3.py,1,modular_audioflamingo3.py,0,1,0,0,True,True,True,False,False,modeling_audioflamingo3.py
auto,1,modeling_auto.py,0,,1,1,1,1,True,False,True,False,False,modeling_auto.py
autoformer,1,modeling_autoformer.py,0,,0,0,0,0,True,False,True,False,False,modeling_autoformer.py
aya_vision,1,modeling_aya_vision.py,1,modular_aya_vision.py,0,1,0,0,True,True,True,False,False,modeling_aya_vision.py
bamba,1,modeling_bamba.py,1,modular_bamba.py,0,0,0,0,True,True,True,False,False,modeling_bamba.py
bark,1,modeling_bark.py,0,,0,1,0,0,True,False,True,False,False,modeling_bark.py
bart,1,modeling_bart.py,0,,1,0,0,0,True,False,True,False,False,modeling_bart.py
barthez,0,,0,,1,0,0,0,False,False,False,False,True,
bartpho,0,,0,,1,0,0,0,False,False,False,False,True,
beit,1,modeling_beit.py,0,,0,0,2,0,True,False,True,False,False,modeling_beit.py
bert,1,modeling_bert.py,0,,2,0,0,0,True,False,True,False,False,modeling_bert.py
bert_generation,1,modeling_bert_generation.py,0,,1,0,0,0,True,False,True,False,False,modeling_bert_generation.py
bert_japanese,0,,0,,1,0,0,0,False,False,False,False,True,
bertweet,0,,0,,1,0,0,0,False,False,False,False,True,
big_bird,1,modeling_big_bird.py,0,,1,0,0,0,True,False,True,False,False,modeling_big_bird.py
bigbird_pegasus,1,modeling_bigbird_pegasus.py,0,,0,0,0,0,True,False,True,False,False,modeling_bigbird_pegasus.py
biogpt,1,modeling_biogpt.py,1,modular_biogpt.py,1,0,0,0,True,True,True,False,False,modeling_biogpt.py
bit,1,modeling_bit.py,0,,0,0,2,0,True,False,True,False,False,modeling_bit.py
bitnet,1,modeling_bitnet.py,1,modular_bitnet.py,0,0,0,0,True,True,True,False,False,modeling_bitnet.py
blenderbot,1,modeling_blenderbot.py,0,,1,0,0,0,True,False,True,False,False,modeling_blenderbot.py
blenderbot_small,1,modeling_blenderbot_small.py,0,,1,0,0,0,True,False,True,False,False,modeling_blenderbot_small.py
blip,2,modeling_blip.py;modeling_blip_text.py,0,,0,1,2,0,True,False,True,False,False,modeling_blip.py;modeling_blip_text.py
blip_2,1,modeling_blip_2.py,0,,0,1,0,0,True,False,True,False,False,modeling_blip_2.py
bloom,1,modeling_bloom.py,0,,0,0,0,0,True,False,True,False,False,modeling_bloom.py
blt,1,modeling_blt.py,1,modular_blt.py,0,0,0,0,True,True,True,False,False,modeling_blt.py
bridgetower,1,modeling_bridgetower.py,0,,0,1,2,0,True,False,True,False,False,modeling_bridgetower.py
bros,1,modeling_bros.py,0,,0,1,0,0,True,False,True,False,False,modeling_bros.py
byt5,0,,0,,1,0,0,0,False,False,False,False,True,
camembert,1,modeling_camembert.py,1,modular_camembert.py,1,0,0,0,True,True,True,False,False,modeling_camembert.py
canine,1,modeling_canine.py,0,,1,0,0,0,True,False,True,False,False,modeling_canine.py
chameleon,1,modeling_chameleon.py,0,,0,1,2,0,True,False,True,False,False,modeling_chameleon.py
chinese_clip,1,modeling_chinese_clip.py,1,modular_chinese_clip.py,0,1,2,0,True,True,True,False,False,modeling_chinese_clip.py
chmv2,1,modeling_chmv2.py,1,modular_chmv2.py,0,0,1,0,True,True,True,False,False,modeling_chmv2.py
clap,1,modeling_clap.py,0,,0,1,0,1,True,False,True,False,False,modeling_clap.py
clip,1,modeling_clip.py,0,,1,1,2,0,True,False,True,False,False,modeling_clip.py
clipseg,1,modeling_clipseg.py,1,modular_clipseg.py,0,1,0,0,True,True,True,False,False,modeling_clipseg.py
clvp,1,modeling_clvp.py,0,,1,1,0,1,True,False,True,False,False,modeling_clvp.py
code_llama,0,,0,,1,0,0,0,False,False,False,False,True,
codegen,1,modeling_codegen.py,0,,1,0,0,0,True,False,True,False,False,modeling_codegen.py
cohere,1,modeling_cohere.py,1,modular_cohere.py,1,0,0,0,True,True,True,False,False,modeling_cohere.py
cohere2,1,modeling_cohere2.py,1,modular_cohere2.py,0,0,0,0,True,True,True,False,False,modeling_cohere2.py
cohere2_vision,1,modeling_cohere2_vision.py,1,modular_cohere2_vision.py,0,1,1,0,True,True,True,False,False,modeling_cohere2_vision.py
cohere_asr,1,modeling_cohere_asr.py,1,modular_cohere_asr.py,0,1,0,1,True,True,True,False,False,modeling_cohere_asr.py
colmodernvbert,1,modeling_colmodernvbert.py,1,modular_colmodernvbert.py,0,1,0,0,True,True,True,False,False,modeling_colmodernvbert.py
colpali,1,modeling_colpali.py,1,modular_colpali.py,0,1,0,0,True,True,True,False,False,modeling_colpali.py
colqwen2,1,modeling_colqwen2.py,1,modular_colqwen2.py,0,1,0,0,True,True,True,False,False,modeling_colqwen2.py
conditional_detr,1,modeling_conditional_detr.py,1,modular_conditional_detr.py,0,0,2,0,True,True,True,False,False,modeling_conditional_detr.py
convbert,1,modeling_convbert.py,0,,1,0,0,0,True,False,True,False,False,modeling_convbert.py
convnext,1,modeling_convnext.py,0,,0,0,2,0,True,False,True,False,False,modeling_convnext.py
convnextv2,1,modeling_convnextv2.py,0,,0,0,0,0,True,False,True,False,False,modeling_convnextv2.py
cpm,0,,0,,2,0,0,0,False,False,False,False,True,
cpmant,1,modeling_cpmant.py,0,,1,0,0,0,True,False,True,False,False,modeling_cpmant.py
csm,1,modeling_csm.py,1,modular_csm.py,0,1,0,0,True,True,True,False,False,modeling_csm.py
ctrl,1,modeling_ctrl.py,0,,1,0,0,0,True,False,True,False,False,modeling_ctrl.py
cvt,1,modeling_cvt.py,0,,0,0,0,0,True,False,True,False,False,modeling_cvt.py
cwm,1,modeling_cwm.py,1,modular_cwm.py,0,0,0,0,True,True,True,False,False,modeling_cwm.py
d_fine,1,modeling_d_fine.py,1,modular_d_fine.py,0,0,0,0,True,True,True,False,False,modeling_d_fine.py
dab_detr,1,modeling_dab_detr.py,0,,0,0,0,0,True,False,True,False,False,modeling_dab_detr.py
dac,1,modeling_dac.py,0,,0,0,0,1,True,False,True,False,False,modeling_dac.py
data2vec,3,modeling_data2vec_audio.py;modeling_data2vec_text.py;modeling_data2vec_vision.py,2,modular_data2vec_audio.py;modular_data2vec_text.py,0,0,0,0,True,True,False,False,False,modeling_data2vec_audio.py;modeling_data2vec_text.py;modeling_data2vec_vision.py
dbrx,1,modeling_dbrx.py,1,modular_dbrx.py,0,0,0,0,True,True,True,False,False,modeling_dbrx.py
deberta,1,modeling_deberta.py,0,,1,0,0,0,True,False,True,False,False,modeling_deberta.py
deberta_v2,1,modeling_deberta_v2.py,0,,1,0,0,0,True,False,True,False,False,modeling_deberta_v2.py
decision_transformer,1,modeling_decision_transformer.py,0,,0,0,0,0,True,False,True,False,False,modeling_decision_transformer.py
deepseek_v2,1,modeling_deepseek_v2.py,1,modular_deepseek_v2.py,0,0,0,0,True,True,True,False,False,modeling_deepseek_v2.py
deepseek_v3,1,modeling_deepseek_v3.py,1,modular_deepseek_v3.py,0,0,0,0,True,True,True,False,False,modeling_deepseek_v3.py
deepseek_v4,1,modeling_deepseek_v4.py,1,modular_deepseek_v4.py,0,0,0,0,True,True,True,False,False,modeling_deepseek_v4.py
deepseek_vl,1,modeling_deepseek_vl.py,1,modular_deepseek_vl.py,0,1,2,0,True,True,True,False,False,modeling_deepseek_vl.py
deepseek_vl_hybrid,1,modeling_deepseek_vl_hybrid.py,1,modular_deepseek_vl_hybrid.py,0,1,2,0,True,True,True,False,False,modeling_deepseek_vl_hybrid.py
deformable_detr,1,modeling_deformable_detr.py,1,modular_deformable_detr.py,0,0,2,0,True,True,True,False,False,modeling_deformable_detr.py
deimv2,1,modeling_deimv2.py,1,modular_deimv2.py,0,0,0,0,True,True,True,False,False,modeling_deimv2.py
deit,1,modeling_deit.py,0,,0,0,2,0,True,False,True,False,False,modeling_deit.py
deprecated,0,,0,,0,0,0,0,False,False,False,False,True,
depth_anything,1,modeling_depth_anything.py,0,,0,0,0,0,True,False,True,False,False,modeling_depth_anything.py
depth_pro,1,modeling_depth_pro.py,0,,0,0,1,0,True,False,True,False,False,modeling_depth_pro.py
detr,1,modeling_detr.py,0,,0,0,2,0,True,False,True,False,False,modeling_detr.py
dia,1,modeling_dia.py,1,modular_dia.py,1,1,0,1,True,True,True,False,False,modeling_dia.py
dialogpt,0,,0,,0,0,0,0,False,False,False,False,True,
diffllama,1,modeling_diffllama.py,1,modular_diffllama.py,0,0,0,0,True,True,True,False,False,modeling_diffllama.py
dinat,1,modeling_dinat.py,0,,0,0,0,0,True,False,True,False,False,modeling_dinat.py
dinov2,1,modeling_dinov2.py,0,,0,0,0,0,True,False,True,False,False,modeling_dinov2.py
dinov2_with_registers,1,modeling_dinov2_with_registers.py,1,modular_dinov2_with_registers.py,0,0,0,0,True,True,True,False,False,modeling_dinov2_with_registers.py
dinov3_convnext,1,modeling_dinov3_convnext.py,0,,0,0,0,0,True,False,True,False,False,modeling_dinov3_convnext.py
dinov3_vit,1,modeling_dinov3_vit.py,1,modular_dinov3_vit.py,0,0,1,0,True,True,True,False,False,modeling_dinov3_vit.py
distilbert,1,modeling_distilbert.py,0,,1,0,0,0,True,False,True,False,False,modeling_distilbert.py
dit,0,,0,,0,0,0,0,False,False,False,False,True,
doge,1,modeling_doge.py,1,modular_doge.py,0,0,0,0,True,True,True,False,False,modeling_doge.py
donut,1,modeling_donut_swin.py,0,,0,1,2,0,True,False,False,False,False,modeling_donut_swin.py
dots1,1,modeling_dots1.py,1,modular_dots1.py,0,0,0,0,True,True,True,False,False,modeling_dots1.py
dpr,1,modeling_dpr.py,0,,2,0,0,0,True,False,True,False,False,modeling_dpr.py
dpt,1,modeling_dpt.py,1,modular_dpt.py,0,0,2,0,True,True,True,False,False,modeling_dpt.py
edgetam,1,modeling_edgetam.py,1,modular_edgetam.py,0,0,0,0,True,True,True,False,False,modeling_edgetam.py
edgetam_video,1,modeling_edgetam_video.py,1,modular_edgetam_video.py,0,0,0,0,True,True,True,False,False,modeling_edgetam_video.py
efficientloftr,1,modeling_efficientloftr.py,1,modular_efficientloftr.py,0,0,2,0,True,True,True,False,False,modeling_efficientloftr.py
efficientnet,1,modeling_efficientnet.py,0,,0,0,2,0,True,False,True,False,False,modeling_efficientnet.py
electra,1,modeling_electra.py,0,,0,0,0,0,True,False,True,False,False,modeling_electra.py
emu3,1,modeling_emu3.py,1,modular_emu3.py,0,1,1,0,True,True,True,False,False,modeling_emu3.py
encodec,1,modeling_encodec.py,0,,0,0,0,1,True,False,True,False,False,modeling_encodec.py
encoder_decoder,1,modeling_encoder_decoder.py,0,,0,0,0,0,True,False,True,False,False,modeling_encoder_decoder.py
eomt,1,modeling_eomt.py,1,modular_eomt.py,0,0,2,0,True,True,True,False,False,modeling_eomt.py
eomt_dinov3,1,modeling_eomt_dinov3.py,1,modular_eomt_dinov3.py,0,0,0,0,True,True,True,False,False,modeling_eomt_dinov3.py
ernie,1,modeling_ernie.py,1,modular_ernie.py,0,0,0,0,True,True,True,False,False,modeling_ernie.py
ernie4_5,1,modeling_ernie4_5.py,1,modular_ernie4_5.py,0,0,0,0,True,True,True,False,False,modeling_ernie4_5.py
ernie4_5_moe,1,modeling_ernie4_5_moe.py,1,modular_ernie4_5_moe.py,0,0,0,0,True,True,True,False,False,modeling_ernie4_5_moe.py
ernie4_5_vl_moe,1,modeling_ernie4_5_vl_moe.py,1,modular_ernie4_5_vl_moe.py,0,1,2,0,True,True,True,False,False,modeling_ernie4_5_vl_moe.py
esm,2,modeling_esm.py;modeling_esmfold.py,0,,1,0,0,0,True,False,True,False,False,modeling_esm.py;modeling_esmfold.py
eurobert,1,modeling_eurobert.py,1,modular_eurobert.py,0,0,0,0,True,True,True,False,False,modeling_eurobert.py
evolla,1,modeling_evolla.py,1,modular_evolla.py,0,1,0,0,True,True,True,False,False,modeling_evolla.py
exaone4,1,modeling_exaone4.py,1,modular_exaone4.py,0,0,0,0,True,True,True,False,False,modeling_exaone4.py
exaone4_5,1,modeling_exaone4_5.py,1,modular_exaone4_5.py,0,1,0,0,True,True,True,False,False,modeling_exaone4_5.py
exaone_moe,1,modeling_exaone_moe.py,1,modular_exaone_moe.py,0,0,0,0,True,True,True,False,False,modeling_exaone_moe.py
falcon,1,modeling_falcon.py,0,,0,0,0,0,True,False,True,False,False,modeling_falcon.py
falcon_h1,1,modeling_falcon_h1.py,1,modular_falcon_h1.py,0,0,0,0,True,True,True,False,False,modeling_falcon_h1.py
falcon_mamba,1,modeling_falcon_mamba.py,1,modular_falcon_mamba.py,0,0,0,0,True,True,True,False,False,modeling_falcon_mamba.py
fast_vlm,1,modeling_fast_vlm.py,1,modular_fast_vlm.py,0,0,0,0,True,True,True,False,False,modeling_fast_vlm.py
fastspeech2_conformer,1,modeling_fastspeech2_conformer.py,0,,1,0,0,0,True,False,True,False,False,modeling_fastspeech2_conformer.py
flaubert,1,modeling_flaubert.py,0,,1,0,0,0,True,False,True,False,False,modeling_flaubert.py
flava,1,modeling_flava.py,0,,0,1,2,0,True,False,True,False,False,modeling_flava.py
flex_olmo,1,modeling_flex_olmo.py,1,modular_flex_olmo.py,0,0,0,0,True,True,True,False,False,modeling_flex_olmo.py
florence2,1,modeling_florence2.py,1,modular_florence2.py,0,1,0,0,True,True,True,False,False,modeling_florence2.py
fnet,1,modeling_fnet.py,0,,1,0,0,0,True,False,True,False,False,modeling_fnet.py
focalnet,1,modeling_focalnet.py,0,,0,0,0,0,True,False,True,False,False,modeling_focalnet.py
fsmt,1,modeling_fsmt.py,0,,1,0,0,0,True,False,True,False,False,modeling_fsmt.py
funnel,1,modeling_funnel.py,0,,1,0,0,0,True,False,True,False,False,modeling_funnel.py
fuyu,1,modeling_fuyu.py,0,,0,1,2,0,True,False,True,False,False,modeling_fuyu.py
gemma,1,modeling_gemma.py,1,modular_gemma.py,1,0,0,0,True,True,True,False,False,modeling_gemma.py
gemma2,1,modeling_gemma2.py,1,modular_gemma2.py,0,0,0,0,True,True,True,False,False,modeling_gemma2.py
gemma3,1,modeling_gemma3.py,1,modular_gemma3.py,0,1,2,0,True,True,True,False,False,modeling_gemma3.py
gemma3n,1,modeling_gemma3n.py,1,modular_gemma3n.py,0,1,0,1,True,True,True,False,False,modeling_gemma3n.py
gemma4,1,modeling_gemma4.py,1,modular_gemma4.py,0,1,2,1,True,True,True,False,False,modeling_gemma4.py
gemma4_assistant,1,modeling_gemma4_assistant.py,0,,0,0,0,0,True,False,True,False,False,modeling_gemma4_assistant.py
git,1,modeling_git.py,0,,0,1,0,0,True,False,True,False,False,modeling_git.py
glm,1,modeling_glm.py,1,modular_glm.py,0,0,0,0,True,True,True,False,False,modeling_glm.py
glm4,1,modeling_glm4.py,1,modular_glm4.py,0,0,0,0,True,True,True,False,False,modeling_glm4.py
glm46v,1,modeling_glm46v.py,1,modular_glm46v.py,0,1,2,0,True,True,True,False,False,modeling_glm46v.py
glm4_moe,1,modeling_glm4_moe.py,1,modular_glm4_moe.py,0,0,0,0,True,True,True,False,False,modeling_glm4_moe.py
glm4_moe_lite,1,modeling_glm4_moe_lite.py,1,modular_glm4_moe_lite.py,0,0,0,0,True,True,True,False,False,modeling_glm4_moe_lite.py
glm4v,1,modeling_glm4v.py,1,modular_glm4v.py,0,1,2,0,True,True,True,False,False,modeling_glm4v.py
glm4v_moe,1,modeling_glm4v_moe.py,1,modular_glm4v_moe.py,0,0,0,0,True,True,True,False,False,modeling_glm4v_moe.py
glm_image,1,modeling_glm_image.py,1,modular_glm_image.py,0,1,2,0,True,True,True,False,False,modeling_glm_image.py
glm_moe_dsa,1,modeling_glm_moe_dsa.py,1,modular_glm_moe_dsa.py,0,0,0,0,True,True,True,False,False,modeling_glm_moe_dsa.py
glm_ocr,1,modeling_glm_ocr.py,1,modular_glm_ocr.py,0,0,0,0,True,True,True,False,False,modeling_glm_ocr.py
glmasr,1,modeling_glmasr.py,1,modular_glmasr.py,0,1,0,0,True,True,True,False,False,modeling_glmasr.py
glpn,1,modeling_glpn.py,0,,0,0,2,0,True,False,True,False,False,modeling_glpn.py
got_ocr2,1,modeling_got_ocr2.py,1,modular_got_ocr2.py,0,1,2,0,True,True,True,False,False,modeling_got_ocr2.py
gpt2,1,modeling_gpt2.py,0,,1,0,0,0,True,False,True,False,False,modeling_gpt2.py
gpt_bigcode,1,modeling_gpt_bigcode.py,0,,0,0,0,0,True,False,True,False,False,modeling_gpt_bigcode.py
gpt_neo,1,modeling_gpt_neo.py,0,,0,0,0,0,True,False,True,False,False,modeling_gpt_neo.py
