layer,file,class_name,parents,module_doc_first_line,class_doc_first_line
L1,tasks/baseline/L1/sam3_position_encoding.py,Sam3PositionEncoding,nn.Module,Sinusoidal 2D position encoding for SAM3.,2D sinusoidal position encoding.
L1,tasks/baseline/L1/sam3_rope.py,Sam3RoPE2D,nn.Module,2D Rotary Position Embedding for SAM3 ViT attention.,2-D axial rotary position embedding for SAM3 ViT.
L1,tasks/baseline/L1/sam3_rope_attention.py,Sam3Attention,nn.Module,RoPE Attention for SAM3 tracker memory attention.,Multi-head attention with optional downsampling and separate kv_in_dim.
L1,tasks/baseline/L1/sam3_rope_attention.py,Sam3RoPEAttention,Sam3Attention,RoPE Attention for SAM3 tracker memory attention.,Attention with 2D rotary position encoding for the tracker.
L1,tasks/baseline/L1/sdpa.py,SDPA,nn.Module,Scaled dot-product attention primitive (L1).,Scaled dot-product attention.
L1,tasks/baseline/L1/segment_csr.py,SegmentCSR,nn.Module,CSR segment reduction via torch.segment_reduce.,
L1,tasks/baseline/L1/sigmoid.py,Sigmoid,nn.Module,Sigmoid activation: 1 / (1 + exp(-x)).,
L1,tasks/baseline/L1/sigmoid_topk.py,SigmoidTopK,nn.Module,Sigmoid top-k routing for Mixture-of-Experts.,Top-k selection with sigmoid weights.
L1,tasks/baseline/L1/silu.py,SiLU,nn.Module,SiLU (Swish) activation: x * sigmoid(x).,
L1,tasks/baseline/L1/silu_and_mul.py,SiluAndMul,nn.Module,SiLU-and-Mul activation with dual dispatch: CUDA (eager) and pure-PyTorch (compiled).,
L1,tasks/baseline/L1/silu_mul_quant_fp8.py,SiluMulQuantFp8,nn.Module,Fused SiLU-mul + per-token-group FP8 quantization with column-major scales.,Fused SiLU-mul + per-token-group FP8 quantization (colmajor scales).
L1,tasks/baseline/L1/sinusoidal_embed.py,SinusoidalEmbed,nn.Module,Sinusoidal time/position embedding for flow matching models.,Sinusoidal embedding with configurable frequency range.
L1,tasks/baseline/L1/softmax.py,Softmax,nn.Module,Softmax activation (via torch.nn.functional.softmax).,
L1,tasks/baseline/L1/softplus.py,Softplus,nn.Module,Softplus activation (L1).,Element-wise softplus: log(1 + exp(beta * x)) / beta.
L1,tasks/baseline/L1/sparse_mm.py,SparseMM,nn.Module,Sparse matrix multiply primitive for graph recommenders.,
L1,tasks/baseline/L1/squared_relu.py,SquaredReLU,nn.Module,"Squared ReLU activation: max(0, x)^2.",
L1,tasks/baseline/L1/squared_relu_and_mul.py,SquaredReluAndMul,nn.Module,SquaredReLU-and-Mul activation for BitNet b1.58's gated FFN.,Fused ``relu(gate)^2 * up`` for the BitNet gated FFN.
L1,tasks/baseline/L1/store_kvcache.py,StoreKVCache,nn.Module,Triton kernel for storing key/value into paged KV cache.,"NHD layout store: [num_blocks, block_size, num_kv_heads, head_dim]."
L1,tasks/baseline/L1/store_kvcache.py,StoreKVCacheHND,nn.Module,Triton kernel for storing key/value into paged KV cache.,"HND layout store: [num_blocks, num_kv_heads, block_size, head_dim]."
L1,tasks/baseline/L1/store_kvcache_fp8_mla.py,StoreKVCacheFP8MLA,nn.Module,MLA KV cache store and gather.,Store ``kv_c_normed`` and ``k_pe`` into MLA paged cache.
L1,tasks/baseline/L1/store_kvcache_fp8_mla.py,GatherKVCacheFP8MLA,nn.Module,MLA KV cache store and gather.,Gather and upconvert KV from FP8 MLA paged cache to BF16.
L1,tasks/baseline/L1/store_kvcache_fp8_mla.py,GatherAndDequantKVCacheMLA,nn.Module,MLA KV cache store and gather.,Gather FP8 MLA KV cache into a BF16 workspace using the
L1,tasks/baseline/L1/swiglu_oai.py,SwigluOai,nn.Module,OAI SwiGLU activation: (up + 1) * gate * sigmoid(alpha * gate) with clamping.,Clamped OAI SwiGLU: (up + 1) * gate * sigmoid(alpha * gate).
L1,tasks/baseline/L1/t5_layer_norm.py,T5LayerNorm,nn.Module,T5-style RMSNorm with fp32 variance computation.,
L1,tasks/baseline/L1/tanh.py,Tanh,nn.Module,Tanh activation: (e^x - e^-x) / (e^x + e^-x).,
L1,tasks/baseline/L1/tensor_ops.py,Pad,nn.Module,Primitive tensor manipulation ops.,Functional padding op.
L1,tasks/baseline/L1/tensor_ops.py,OneHot,nn.Module,Primitive tensor manipulation ops.,Functional one-hot encoding op.
L1,tasks/baseline/L1/top_k_per_row.py,TopKPerRow,nn.Module,Top-K per row selection for DSA indexer using vLLM's CUDA kernels.,Top-K per row selection for sparse attention indexer.
L1,tasks/baseline/L1/topk_softmax.py,TopKSoftmax,nn.Module,Fused top-k + softmax routing for Mixture-of-Experts.,Fused top-k selection with softmax normalization.
L1,tasks/baseline/L1/tree_attn_prefill.py,TreeAttnPrefill,nn.Module,FA3 cascade attention for the EAGLE-3 verify step.,Verify-step attention via cascade (two batched calls + LSE merge).
L1,tasks/baseline/L1/ttt_e2e_rope.py,TTTE2ERoPE,nn.Module,TTT-E2E rotary embedding (interleaved / GPT-J style) L1 op.,Interleaved rotary embedding with a pre-computed cos/sin cache.
L1,tasks/baseline/L1/video_processor.py,VideoProcessor,nn.Module,VAE output post-processor for images and video.,Post-processor for VAE-decoded image and video tensors.
L1,tasks/baseline/L1/vision_rotary_emb.py,VisionRotaryEmbedding,nn.Module,Vision encoder rotary position embeddings.,
L1,tasks/baseline/L1/vjepa2_rope.py,VJEPA2RotaryEmbedding,nn.Module,V-JEPA 2 rotary position helper.,Apply V-JEPA 2's frame/height/width rotary embedding.
L1,tasks/baseline/L1/yarn_rotary_emb.py,YaRNRotaryEmbedding,nn.Module,Rotary position embeddings with YaRN / YARN scaling.,YaRN RoPE with precomputed cos/sin cache.
L1,tasks/baseline/L1/yarn_rotary_emb.py,YarnRotaryEmbedding,nn.Module,Rotary position embeddings with YaRN / YARN scaling.,DeepSeek-style YARN (Yet Another RoPE extensioN) RoPE.
L2,tasks/baseline/L2/ada_layer_norm.py,AdaLayerNormZero,nn.Module,Adaptive Layer Norm modules for diffusion transformers (L2 composite).,Norm layer adaptive layer norm zero (adaLN-Zero).
L2,tasks/baseline/L2/ada_layer_norm.py,AdaLayerNormZeroSingle,nn.Module,Adaptive Layer Norm modules for diffusion transformers (L2 composite).,Norm layer adaptive layer norm zero (adaLN-Zero) for single-stream blocks.
L2,tasks/baseline/L2/ada_layer_norm_continuous.py,AdaLayerNormContinuous,nn.Module,Adaptive continuous layer norm for diffusion transformers (L2 composite).,Adaptive normalization layer with a norm layer (layer_norm or rms_norm).
L2,tasks/baseline/L2/alphafold3_atom_attention.py,RefAtomFeatureEmbedder,nn.Module,Sequence-local atom attention for AlphaFold3.,"Embeds reference atom features (Algorithm 5, lines 1-6)."
L2,tasks/baseline/L2/alphafold3_atom_attention.py,NoisyPositionEmbedder,nn.Module,Sequence-local atom attention for AlphaFold3.,"Embeds noisy positions and trunk embeddings (Algorithm 5, lines 8-12)."
L2,tasks/baseline/L2/alphafold3_atom_attention.py,AtomAttentionEncoder,nn.Module,Sequence-local atom attention for AlphaFold3.,AF3 Algorithm 5: Atom attention encoder.
L2,tasks/baseline/L2/alphafold3_atom_attention.py,AtomAttentionDecoder,nn.Module,Sequence-local atom attention for AlphaFold3.,AF3 Algorithm 6: Atom attention decoder.
L2,tasks/baseline/L2/alphafold3_attention_pair_bias.py,AttentionPairBias,nn.Module,Attention with pair bias for AlphaFold3.,AF3 Algorithm 24: Attention with pair bias.
L2,tasks/baseline/L2/alphafold3_attention_pair_bias.py,CrossAttentionPairBias,nn.Module,Attention with pair bias for AlphaFold3.,AF3 Algorithm 24: Cross-attention with pair bias for atom attention.
L2,tasks/baseline/L2/alphafold3_diffusion_conditioning.py,FourierEmbedding,nn.Module,Diffusion conditioning for AlphaFold3.,Fourier time embedding for diffusion conditioning.
L2,tasks/baseline/L2/alphafold3_diffusion_conditioning.py,DiffusionConditioning,nn.Module,Diffusion conditioning for AlphaFold3.,Conditioning for diffusion module.
L2,tasks/baseline/L2/alphafold3_input_embedder.py,InputEmbedder,nn.Module,Input embedder for AlphaFold3.,Produces initial single and pair representations from token features.
L2,tasks/baseline/L2/alphafold3_msa_attention.py,MSARowAttentionWithPairBias,nn.Module,MSA pair-weighted averaging for AlphaFold3 (Algorithm 10).,AF3 MSA Pair-Weighted Averaging (Algorithm 10).
L2,tasks/baseline/L2/alphafold3_msa_module_embedder.py,MSAModuleEmbedder,nn.Module,"MSA module embedder for AlphaFold3 (Algorithm 8, lines 1-4).","AF3 Algorithm 8, lines 1-4: MSA feature embedding."
L2,tasks/baseline/L2/alphafold3_of3_attention.py,OF3Attention,nn.Module,Multi-head attention with bias list support for AlphaFold3 (L2).,Standard multi-head attention with gating and bias list support.
L2,tasks/baseline/L2/alphafold3_outer_product_mean.py,OuterProductMean,nn.Module,Outer product mean for AlphaFold3 (L2).,AF3 Algorithm 9: Outer product mean.
L2,tasks/baseline/L2/alphafold3_pair_block.py,PairBlock,nn.Module,PairBlock for AlphaFold3.,Shared pair stack block for AF3 PairFormer / MSA module / template.
L2,tasks/baseline/L2/alphafold3_swiglu.py,SwiGLU,nn.Module,SwiGLU activation and AdaLN for AlphaFold3 (L2 composites).,SwiGLU activation: SiLU(Wa x) * Wb x.
L2,tasks/baseline/L2/alphafold3_swiglu.py,AdaLN,nn.Module,SwiGLU activation and AdaLN for AlphaFold3 (L2 composites).,Adaptive Layer Normalization matching the reference AdaLN.
L2,tasks/baseline/L2/alphafold3_swiglu_transition.py,SwiGLUTransition,nn.Module,SwiGLU transition composites for AlphaFold3 (L2).,AF3 Algorithm 11: SwiGLU-based transition.
L2,tasks/baseline/L2/alphafold3_swiglu_transition.py,ConditionedTransitionBlock,nn.Module,SwiGLU transition composites for AlphaFold3 (L2).,AF3 Algorithm 25: SwiGLU transition with AdaLN-Zero conditioning.
L2,tasks/baseline/L2/alphafold3_template_embedder.py,TemplatePairEmbedder,nn.Module,Template embedder for AlphaFold3 (Algorithm 16).,"Embeds template pair features (Algorithm 16, lines 1-5)."
L2,tasks/baseline/L2/alphafold3_template_embedder.py,TemplatePairStackBlock,PairBlock,Template embedder for AlphaFold3 (Algorithm 16).,Single block of the template pair stack.
L2,tasks/baseline/L2/alphafold3_template_embedder.py,TemplatePairStack,nn.Module,Template embedder for AlphaFold3 (Algorithm 16).,Template pair stack.
L2,tasks/baseline/L2/alphafold3_template_embedder.py,TemplateEmbedder,nn.Module,Template embedder for AlphaFold3 (Algorithm 16).,AF3 Algorithm 16: Template embedder.
L2,tasks/baseline/L2/alphafold3_triangle_attention.py,TriangleAttention,nn.Module,Triangle attention for AlphaFold3 (L2).,AF3 Algorithms 14/15: Triangle attention.
L2,tasks/baseline/L2/alphafold3_triangle_attention.py,TriangleAttentionEndingNode,TriangleAttention,Triangle attention for AlphaFold3 (L2).,AF3 Algorithm 15.
L2,tasks/baseline/L2/alphafold3_triangle_multiplication.py,TriangleMultiplicativeUpdate,nn.Module,Triangle multiplicative update for AlphaFold3 (L2).,AF3 Algorithms 12/13: Triangle multiplicative update.
L2,tasks/baseline/L2/alphafold3_triangle_multiplication.py,TriangleMultiplicationOutgoing,TriangleMultiplicativeUpdate,Triangle multiplicative update for AlphaFold3 (L2).,AF3 Algorithm 12.
L2,tasks/baseline/L2/alphafold3_triangle_multiplication.py,TriangleMultiplicationIncoming,TriangleMultiplicativeUpdate,Triangle multiplicative update for AlphaFold3 (L2).,AF3 Algorithm 13.
L2,tasks/baseline/L2/attention.py,LlamaAttention,nn.Module,Model-level multi-head attention (thin wrapper).,Model-level attention: qkv_proj -> [qk_norm] -> [rope] -> Attention -> o_proj.
L2,tasks/baseline/L2/attention_impl.py,Attention,nn.Module,vLLM-aligned Attention layer with paged KV cache.,
L2,tasks/baseline/L2/attention_pool.py,AttentionPoolLatent,nn.Module,Attention pooling with latent query (L2).,Attention pooling with a learnable latent query.
L2,tasks/baseline/L2/attention_pool.py,_PoolMlp,nn.Module,Attention pooling with latent query (L2).,Simple MLP used inside AttentionPoolLatent.
L2,tasks/baseline/L2/batch_norm_act2d.py,BatchNormAct2d,BatchNorm2d,BatchNorm2d followed by an optional activation.,
L2,tasks/baseline/L2/bert_embeddings.py,BertEmbeddings,EncoderEmbeddingsBase,BERT embedding stack.,
L2,tasks/baseline/L2/bitnet_attention.py,BitNetAttention,nn.Module,BitNet attention block (W1.58A8 with fused QKV projection).,W1.58A8 GQA attention with sub-norm and NeoX RoPE.
L2,tasks/baseline/L2/bitnet_mlp.py,BitNetMLP,nn.Module,BitNet MLP: squared-ReLU gated FFN with W1.58A8 BitLinear and sub-norm.,
L2,tasks/baseline/L2/clip_attention.py,CLIPAttention,nn.Module,CLIP self-attention (L2).,
L2,tasks/baseline/L2/clip_mlp.py,CLIPMLP,nn.Module,CLIP MLP and text embeddings (L2).,
L2,tasks/baseline/L2/clip_mlp.py,CLIPTextEmbeddings,nn.Module,CLIP MLP and text embeddings (L2).,
L2,tasks/baseline/L2/colbertv2_ops.py,ColBERTv2TokenMask,nn.Module,ColBERTv2 embedding and MaxSim ops.,
L2,tasks/baseline/L2/colbertv2_ops.py,ColBERTv2ScoreReduce,nn.Module,ColBERTv2 embedding and MaxSim ops.,
L2,tasks/baseline/L2/colbertv2_ops.py,ColBERTv2MaxSim,nn.Module,ColBERTv2 embedding and MaxSim ops.,
L2,tasks/baseline/L2/convnextv2_block.py,ConvNeXtV2Layer,nn.Module,ConvNeXtV2 block.,
L2,tasks/baseline/L2/cosyvoice3_cfm.py,BASECFM,nn.Module;ABC,Conditional Flow Matching (CFM) for CosyVoice3 audio generation.,
L2,tasks/baseline/L2/cosyvoice3_cfm.py,CausalConditionalCFM,BASECFM,Conditional Flow Matching (CFM) for CosyVoice3 audio generation.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,Snake,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,ResBlock,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,SineGen,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,SineGen2,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,SourceModuleHnNSF,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,CausalConv1dUpsample,Conv1d,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,CausalConv1dDownSample,Conv1d,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,CausalConv1d,Conv1d,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,CausalConvRNNF0Predictor,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_hifigan.py,CausalHiFTGenerator,nn.Module,HiFi-GAN vocoder for CosyVoice3 mel-to-waveform conversion.,
L2,tasks/baseline/L2/cosyvoice3_pre_lookahead.py,PreLookaheadLayer,nn.Module,Pre-lookahead convolutional layer for CosyVoice3 causal processing.,
L2,tasks/baseline/L2/deepseek_mla_attention.py,DeepSeekMLAAttention,nn.Module,DeepSeek MLA attention (model-level).,DeepSeek Multi-head Latent Attention with optional DSA indexer.
L2,tasks/baseline/L2/deepseek_moe.py,DeepSeekMoE,nn.Module,"DeepSeek MoE with shared expert, grouped routing, and FP8 expert execution.",DeepSeek Mixture-of-Experts with shared expert and grouped routing.
L2,tasks/baseline/L2/dlrm_interaction.py,DLRMFeatureInteraction,nn.Module,Feature interaction block for DLRM-style recommenders.,
L2,tasks/baseline/L2/dp3_conditional_residual_block.py,_RearrangeBT1,nn.Module,DP3 conditional residual block (FiLM-conditioned).,``b t -> b t 1`` — append a length-1 horizon axis to the FiLM embed.
L2,tasks/baseline/L2/dp3_conditional_residual_block.py,ConditionalResidualBlock1D,nn.Module,DP3 conditional residual block (FiLM-conditioned).,Two-Conv1dBlock residual with FiLM (scale+bias) conditioning.
L2,tasks/baseline/L2/dp3_conv1d_block.py,Conv1dBlock,nn.Module,DP3 1-D conv block: Conv1d -> GroupNorm -> Mish.,"Conv1d (kernel_size, padding=ks//2) -> GroupNorm(n_groups) -> Mish."
L2,tasks/baseline/L2/dp3_conv1d_block.py,Downsample1d,nn.Module,DP3 1-D conv block: Conv1d -> GroupNorm -> Mish.,"Conv1d(dim, dim, kernel_size=3, stride=2, padding=1)."
L2,tasks/baseline/L2/dp3_conv1d_block.py,Upsample1d,nn.Module,DP3 1-D conv block: Conv1d -> GroupNorm -> Mish.,"ConvTranspose1d(dim, dim, kernel_size=4, stride=2, padding=1)."
L2,tasks/baseline/L2/dp3_diffusion_step_embedding.py,,,DP3 diffusion-step embedding MLP.,
L2,tasks/baseline/L2/dp3_pointnet_encoder.py,PointNetEncoderXYZ,nn.Module,DP3 sparse point-cloud encoder.,3-layer per-point MLP -> max-pool -> projection.
L2,tasks/baseline/L2/dp3_pointnet_encoder.py,PointNetEncoderXYZRGB,nn.Module,DP3 sparse point-cloud encoder.,4-layer per-point MLP for XYZRGB inputs (use_pc_color=True path).
L2,tasks/baseline/L2/dp3_state_encoder.py,,,DP3 robot-state (proprioception) MLP builder.,
L2,tasks/baseline/L2/efficientnetv2_edge_residual.py,EdgeResidual,nn.Module,EfficientNetV2 EdgeResidual block.,
L2,tasks/baseline/L2/efficientnetv2_inverted_residual.py,InvertedResidual,nn.Module,EfficientNetV2 inverted residual block.,
L2,tasks/baseline/L2/efficientnetv2_squeeze_excite.py,SqueezeExcite,nn.Module,EfficientNetV2 squeeze-and-excitation block.,
L2,tasks/baseline/L2/embedding_bag_collection.py,EmbeddingBagCollection,nn.Module,Collection of feature-wise embedding bags for recsys models.,
L2,tasks/baseline/L2/encoder_attention.py,EncoderSelfAttention,nn.Module,Attention blocks for encoder models.,
L2,tasks/baseline/L2/encoder_attention.py,EncoderSelfOutput,nn.Module,Attention blocks for encoder models.,
L2,tasks/baseline/L2/encoder_attention.py,EncoderAttention,nn.Module,Attention blocks for encoder models.,
L2,tasks/baseline/L2/encoder_embeddings.py,EncoderEmbeddingsBase,nn.Module,Shared token/position/type embedding wiring for encoder models.,
L2,tasks/baseline/L2/encoder_embeddings.py,BertEmbeddings,EncoderEmbeddingsBase,Shared token/position/type embedding wiring for encoder models.,
L2,tasks/baseline/L2/encoder_embeddings.py,XLMRobertaEmbeddings,EncoderEmbeddingsBase,Shared token/position/type embedding wiring for encoder models.,
L2,tasks/baseline/L2/encoder_mlp.py,EncoderIntermediate,nn.Module,Feed-forward blocks for encoder models.,
L2,tasks/baseline/L2/encoder_mlp.py,EncoderOutput,nn.Module,Feed-forward blocks for encoder models.,
L2,tasks/baseline/L2/eva_attention.py,EvaAttention,nn.Module,EVA-style attention with RoPE (L2).,EVA attention with RoPE and optional biases.
L2,tasks/baseline/L2/flux_attention.py,FluxAttention,nn.Module,FLUX attention module (L2 composite).,Multi-head attention for FLUX diffusion transformer.
L2,tasks/baseline/L2/flux_feedforward.py,ColumnParallelApproxGELU,nn.Module,FLUX feed-forward network (L2 composite).,
L2,tasks/baseline/L2/flux_feedforward.py,FeedForward,nn.Module,FLUX feed-forward network (L2 composite).,FLUX FFN: GELU(tanh) linear -> linear with TP sharding.
L2,tasks/baseline/L2/fused_experts.py,_SharedBuf,,Fused MoE experts: two grouped GEMMs with SiLU-mul in between.,Mutable container so all FusedExperts layers share one set of scratch
L2,tasks/baseline/L2/fused_experts.py,FusedExperts,nn.Module,Fused MoE experts: two grouped GEMMs with SiLU-mul in between.,Fused MoE experts: two grouped GEMMs with SiLU-mul in between.
L2,tasks/baseline/L2/gaussian_splat_render.py,GaussianSplatRender,nn.Module,Render block for 3D Gaussian splatting.,
L2,tasks/baseline/L2/geglu.py,GEGLU,nn.Module,GEGLU activation: gated linear unit with GELU gate.,GEGLU activation with a fused linear projection.
L2,tasks/baseline/L2/gemma4_attention.py,Gemma4Attention,nn.Module,Gemma4 attention with per-layer RoPE and K==V full-attention support.,
L2,tasks/baseline/L2/gemma4_mlp.py,Gemma4MLP,nn.Module,Gemma4 dense MLP block.,
L2,tasks/baseline/L2/gemma4_moe.py,Gemma4GateLinear,nn.Module,Gemma4 MoE block.,Replicated router projection with vLLM's bf16->fp32 router GEMM.
L2,tasks/baseline/L2/gemma4_moe.py,Gemma4Router,nn.Module,Gemma4 MoE block.,Gemma4 router pre-normalization and expert-logit projection.
L2,tasks/baseline/L2/gemma4_moe.py,Gemma4MoE,nn.Module,Gemma4 MoE block.,Gemma4 routed experts with full-softmax top-k routing.
L2,tasks/baseline/L2/gemma_dense_attention.py,GemmaRotaryEmbedding,nn.Module,Gemma dense attention with simple KV cache (L2 composite).,Precompute RoPE cos/sin cache for Gemma.
L2,tasks/baseline/L2/gemma_dense_attention.py,GemmaDenseAttention,nn.Module,Gemma dense attention with simple KV cache (L2 composite).,Multi-head attention for Gemma with dense (non-paged) KV cache.
L2,tasks/baseline/L2/gla_attention.py,GatedLinearAttention,nn.Module,Gated linear attention (covers both GLA and RetNet).,Unified L2 attention for GLA and RetNet.
L2,tasks/baseline/L2/gla_mlp.py,GLAMLP,nn.Module,SwiGLU MLP for GLA / RetNet decoder layers.,
L2,tasks/baseline/L2/gpt_oss_attention.py,GptOssAttention,nn.Module,"GPT-OSS attention: GQA with bias, YaRN RoPE, sliding window, and attention sinks.","GQA attention with bias, sliding window, and attention sinks."
L2,tasks/baseline/L2/gpt_oss_moe.py,GptOssMoE,nn.Module,GPT-OSS MoE: MXFP4-native fused MoE composed from KB-Nano L1 ops.,MXFP4-native MoE composed from KB-Nano L1 ops.
L2,tasks/baseline/L2/hunyuan_video_attention.py,HunyuanVideo15Attention,nn.Module,HunyuanVideo-1.5 dual-stream joint attention (L2 composite).,Dual-stream joint attention with TP optimization.
L2,tasks/baseline/L2/hunyuan_video_conditioning.py,HunyuanVideo15ConditioningMerge,nn.Module,HunyuanVideo-1.5 multi-stream conditioning merge (L2 composite).,Merge and reorder three conditioning streams for HunyuanVideo.
L2,tasks/baseline/L2/hunyuan_video_embeddings.py,HunyuanVideo15PatchEmbed,nn.Module,HunyuanVideo-1.5 embedding and projection modules (L2 composites).,
L2,tasks/baseline/L2/hunyuan_video_embeddings.py,HunyuanVideo15AdaNorm,nn.Module,HunyuanVideo-1.5 embedding and projection modules (L2 composites).,
L2,tasks/baseline/L2/hunyuan_video_embeddings.py,HunyuanVideo15TimeEmbedding,nn.Module,HunyuanVideo-1.5 embedding and projection modules (L2 composites).,
L2,tasks/baseline/L2/hunyuan_video_embeddings.py,HunyuanVideo15ByT5TextProjection,nn.Module,HunyuanVideo-1.5 embedding and projection modules (L2 composites).,
L2,tasks/baseline/L2/hunyuan_video_embeddings.py,HunyuanVideo15ImageProjection,nn.Module,HunyuanVideo-1.5 embedding and projection modules (L2 composites).,
L2,tasks/baseline/L2/hunyuan_video_token_refiner.py,TokenRefinerSelfAttention,nn.Module,HunyuanVideo-1.5 token refiner ops (L2 composites).,Self-attention for the token refiner.
L2,tasks/baseline/L2/hunyuan_video_token_refiner.py,_LinearSiLU,nn.Module,HunyuanVideo-1.5 token refiner ops (L2 composites).,Linear projection followed by SiLU activation.
L2,tasks/baseline/L2/hunyuan_video_token_refiner.py,TokenRefinerFeedForward,nn.Module,HunyuanVideo-1.5 token refiner ops (L2 composites).,SiLU feedforward for the token refiner.
