canonical_op,kb_nano_path,kb_nano_class,notes
linear,tasks/baseline/L1/linear.py,Linear,direct
matmul,tasks/baseline/L1/linear.py,Matmul,direct (wraps torch.matmul)
batch_matmul,tasks/baseline/L1/bmm.py,BatchMatMul,direct
embedding,tasks/baseline/L1/embedding.py,Embedding,direct
dropout,tasks/baseline/L1/dropout.py,Dropout,direct (inference dropout=0)
softmax,tasks/baseline/L1/softmax.py,Softmax,direct
layer_norm,tasks/baseline/L1/layer_norm.py,LayerNorm,direct
rms_norm,tasks/baseline/L1/rms_norm.py,RMSNorm,direct (caveat: CUDA path wrong for hidden%32!=0; native fallback ok)
group_norm,tasks/baseline/L1/group_norm.py,GroupNorm,direct
batch_norm_2d,tasks/baseline/L1/batch_norm2d.py,BatchNorm2d,direct
frozen_batch_norm,tasks/baseline/L1/frozen_batch_norm2d.py,FrozenBatchNorm2d,direct
t5_layer_norm,tasks/baseline/L1/t5_layer_norm.py,T5LayerNorm,direct
l2_norm,tasks/baseline/L1/l2_norm.py,L2Norm,direct
gelu,tasks/baseline/L1/gelu.py,GELU,direct
relu,tasks/baseline/L1/relu.py,ReLU,direct
silu,tasks/baseline/L1/silu.py,SiLU,direct
sigmoid,tasks/baseline/L1/sigmoid.py,Sigmoid,direct
tanh,tasks/baseline/L1/tanh.py,Tanh,direct
quick_gelu,tasks/baseline/L1/quickgelu.py,QuickGELU,direct
log_sigmoid,tasks/baseline/L1/log_sigmoid.py,LogSigmoid,direct
mish,,, NOT IN L1 (used by DP3 only - dp3 branch unmerged)
leaky_relu,composable,,torch builtin: F.leaky_relu — bit-identical to nn.LeakyReLU by construction (nn.LeakyReLU just wraps F.leaky_relu). Audit passthrough. Verified across fp32/bf16/fp16 and slope in {0 0.01 0.1 0.2}.
elu,composable,,torch builtin: F.elu — bit-identical to nn.ELU. Audit passthrough. Verified across fp32/bf16/fp16 and alpha in {0.5 1.0 1.5}.
hardsigmoid,composable,,torch builtin: F.hardsigmoid — bit-identical to nn.Hardsigmoid. Audit passthrough.
hardswish,composable,,torch builtin: F.hardswish — bit-identical to nn.Hardswish. Audit passthrough.
batch_norm_1d,composable,,composable via kb-nano BatchNorm2d (rank-agnostic via F.batch_norm; tested across rank-2 [B,C] groupvit/levit pattern AND rank-3 [B,C,L] hubert/fastspeech pattern). Verified test_composition_equivalence.py (eval+train, fp32/bf16/fp16).
batch_norm_3d,composable,,composable via kb-nano BatchNorm2d (F.batch_norm is rank-agnostic; works on [B,C,D,H,W] directly). Verified test_composition_equivalence.py.
chunk_gated_delta_rule,tasks/baseline/L1/chunk_gated_delta_rule.py,ChunkGatedDeltaRule,direct (added in audit branch; wraps fla.ops.gated_delta_rule.chunk_gated_delta_rule; same import pattern as chunk_gla.py)
fused_recurrent_gated_delta_rule,tasks/baseline/L1/chunk_gated_delta_rule.py,FusedRecurrentGatedDeltaRule,direct (added in audit branch)
multihead_attention,tasks/baseline/L1/dense_attention.py,DenseAttention,direct (legacy nn.MultiheadAttention is a wrapper around 3xLinear+SDPA+Linear; all primitives in kb-nano. Per mentor: do not add a literal wrapper for the deprecated class API)
lstm,tasks/baseline/L1/lstm.py,LSTM,direct (added in audit branch; numerically verified vs nn.LSTM)
squared_relu,tasks/baseline/L1/squared_relu.py,SquaredReLU,direct
silu_and_mul,tasks/baseline/L1/silu_and_mul.py,SiluAndMul,fused SwiGLU activation
swiglu_oai,tasks/baseline/L1/swiglu_oai.py,SwigluOai,fused GPT-OSS swiglu (clipped)
conv1d,tasks/baseline/L1/conv1d.py,Conv1d,direct (note: this is the Whisper-style wrapper with self.conv nesting)
conv2d,tasks/baseline/L1/conv2d.py,Conv2d,direct
conv3d,tasks/baseline/L1/conv3d.py,Conv3d,direct
conv_transpose1d,tasks/baseline/L1/conv_transpose1d.py,ConvTranspose1d,direct (added in audit branch; numerically verified vs nn.ConvTranspose1d)
conv_transpose2d,tasks/baseline/L1/conv_transpose2d.py,ConvTranspose2d,direct (added in audit branch; numerically verified vs nn.ConvTranspose2d)
conv_transpose3d,tasks/baseline/L1/conv_transpose3d.py,ConvTranspose3d,direct (added in audit branch; numerically verified vs nn.ConvTranspose3d)
max_pool_2d,tasks/baseline/L1/max_pool2d.py,MaxPool2d,direct
avg_pool_2d,tasks/baseline/L1/avg_pool2d.py,AvgPool2d,direct
adaptive_avg_pool_2d,tasks/baseline/L1/adaptive_avg_pool2d.py,AdaptiveAvgPool2d,direct (added in audit branch; numerically verified)
adaptive_avg_pool_1d,tasks/baseline/L1/adaptive_avg_pool1d.py,AdaptiveAvgPool1d,direct (added in audit branch; numerically verified)
max_pool_1d,composable,,composable via MaxPool2d with kernel=(1 k) + reshape: MaxPool2d((1,k))(x.unsqueeze(-2)).squeeze(-2). Verified bit-identical across fp32/bf16/fp16 and all HF kernel/stride/padding configs (test_composition_equivalence.py)
avg_pool_1d,composable,,composable via AvgPool2d with kernel=(1 k) + reshape: AvgPool2d((1,k))(x.unsqueeze(-2)).squeeze(-2). Verified bit-identical (test_composition_equivalence.py)
max_pool_3d,,, NOT FOUND (no HF model in pinned commit needs it)
avg_pool_3d,,, NOT FOUND (no HF model in pinned commit needs it)
interpolate,tasks/baseline/L1/interpolate.py,Interpolate,direct
grid_sample,tasks/baseline/L1/grid_sample.py,GridSample,direct (added in audit branch; numerically verified)
deformable_attention,tasks/baseline/L1/rtdetrv2_deformable_attention.py,MultiScaleDeformableAttentionV2,direct (RTDETR-v2 variant; v1/DeformableDETR may differ in normalization or sampling)
sdpa,tasks/baseline/L1/dense_attention.py,DenseAttention,direct (dense SDPA)
flash_attention,tasks/baseline/L1/flash_attn_prefill.py,FlashAttnPrefill,direct (varlen at flash_attn_varlen.py)
flash_attention_decode,tasks/baseline/L1/flash_attn_decode.py,FlashAttnDecode,direct
rotary_pos_emb,tasks/baseline/L1/rotary_emb.py,RotaryEmbedding,direct
rotary_pos_emb_mrope,tasks/baseline/L1/mrope.py,MRotaryEmbedding,direct (M-RoPE for VLMs)
rotary_pos_emb_yarn,tasks/baseline/L1/yarn_rotary_emb.py,YaRNRotaryEmbedding,direct
rotary_pos_emb_dinov3,tasks/baseline/L1/dinov3_rope.py,DINOv3RoPE,direct
rotary_pos_emb_diffusion,tasks/baseline/L1/diffusion_rope.py,DiffusionRoPE,direct
rotary_pos_emb_oasis,tasks/baseline/L1/oasis_rotary.py,OasisRotaryEmbedding,direct
rotary_pos_emb_vision,tasks/baseline/L1/vision_rotary_emb.py,VisionRotaryEmbedding,direct
rotary_pos_emb_sam3_2d,tasks/baseline/L1/sam3_rope.py,Sam3RoPE2D,direct
rotary_pos_emb_flux_2d,tasks/baseline/L1/flux_pos_embed.py,FluxPosEmbed,direct
rotary_pos_emb_hunyuan_video,tasks/baseline/L1/hunyuan_video_rope.py,HunyuanVideo15RotaryPosEmbed,direct
kv_cache,tasks/baseline/L1/store_kvcache.py,StoreKVCache,direct (paged KV; HND/NHD)
kv_cache_fp8_mla,tasks/baseline/L1/store_kvcache_fp8_mla.py,StoreKVCacheFP8MLA,direct
selective_scan,tasks/baseline/L1/?,?,Mamba ops are spread across mamba_chunked / mamba_recurrent files - need to verify
causal_conv1d,,,Mamba causal conv - bundled with mamba ops
moe_topk,tasks/baseline/L1/grouped_topk.py,GroupedTopK,direct
moe_align,tasks/baseline/L1/moe_align.py,MoeAlign,direct
moe_grouped_gemm,tasks/baseline/L1/moe_grouped_gemm.py,MoeGroupedGemm,direct
moe_sum,tasks/baseline/L1/moe_sum.py,MoeSum,direct
sigmoid_topk,tasks/baseline/L1/sigmoid_topk.py,SigmoidTopK,direct
topk_softmax,tasks/baseline/L1/topk_softmax.py,TopKSoftmax,direct
mxfp4_moe,tasks/baseline/L1/mxfp4_moe.py,Mxfp4MoE,direct
fp8_linear,tasks/baseline/L1/fp8_linear.py,Fp8Linear,direct
gate_linear,tasks/baseline/L1/gate_linear.py,GateLinear,direct
chunk_gla,tasks/baseline/L1/chunk_gla.py,ChunkGLA,direct (FLA family)
chunk_retention,tasks/baseline/L1/chunk_retention.py,ChunkRetention,direct
chunk_rwkv7,tasks/baseline/L1/chunk_rwkv7.py,ChunkRWKV7,direct
fused_recurrent_gla,tasks/baseline/L1/fused_recurrent_gla.py,FusedRecurrentGLA,direct
fused_recurrent_retention,tasks/baseline/L1/fused_recurrent_retention.py,FusedRecurrentRetention,direct
fused_recurrent_rwkv7,tasks/baseline/L1/fused_recurrent_rwkv7.py,FusedRecurrentRWKV7,direct
allreduce,tasks/baseline/L1/allreduce.py,AllReduce,direct
identity,passthrough,,nn.Identity is no-op
flatten,passthrough,,torch builtin
arange,passthrough,,torch builtin
cat,passthrough,,torch builtin
stack,passthrough,,torch builtin
split,passthrough,,torch builtin
chunk,passthrough,,torch builtin
gather,passthrough,,torch builtin
scatter,passthrough,,torch builtin
masked_fill,passthrough,,torch builtin
masked_select,passthrough,,torch builtin
index_select,passthrough,,torch builtin
where,passthrough,,torch builtin
topk,passthrough,,torch builtin (topk-of-tensor); MoE topk uses GroupedTopK L1
argmax,passthrough,,torch builtin
argmin,passthrough,,torch builtin
cumsum,passthrough,,torch builtin
cumprod,passthrough,,torch builtin
exp,passthrough,,torch builtin
log,passthrough,,torch builtin
rsqrt,passthrough,,torch builtin (used inside RMSNorm class)
sqrt,passthrough,,torch builtin
pow,passthrough,,torch builtin
clamp,passthrough,,torch builtin
abs,passthrough,,torch builtin
sign,passthrough,,torch builtin
sin,passthrough,,torch builtin
cos,passthrough,,torch builtin
outer,passthrough,,torch builtin
logsumexp,passthrough,,torch builtin
roll,passthrough,,torch builtin
flip,passthrough,,torch builtin
tril,passthrough,,torch builtin
triu,passthrough,,torch builtin
ones_like,passthrough,,torch builtin
zeros_like,passthrough,,torch builtin
full_like,passthrough,,torch builtin
eye,passthrough,,torch builtin
repeat_interleave,passthrough,,torch builtin
pad,tasks/baseline/L1/tensor_ops.py,Pad,direct
one_hot,tasks/baseline/L1/tensor_ops.py,OneHot,direct
log_softmax,passthrough,,torch builtin
pixel_shuffle,passthrough,,torch builtin (used by ViT in interpolation; rarely a kernel target)
zero_pad_2d,passthrough,,torch builtin (composes pad)
encoder_decoder_cache,tasks/baseline/L4/recurrent_cache.py,RecurrentCache,partial - kb-nano has paged KV cache, not HF EncoderDecoderCache; semantically equivalent to two stacked KV caches
ctc_loss,training_only,,inference path does not use loss
cross_entropy,training_only,,
binary_cross_entropy,training_only,,
mse_loss,training_only,,
attention_dispatcher,multi_path,,ALL_ATTENTION_FUNCTIONS dispatches to one of: sdpa/flash_attention_2/eager/flex - kb-nano supports sdpa (DenseAttention) and flash_attention (FlashAttn*); flex_attention is unsupported but rarely the only path
